product_cd	category_major_cd	category_medium_cd	category_small_cd	unit_price	unit_cost	category_major_name	category_medium_name	category_small_name
40101	Side dish	Rice	Lunch	P040101001	4	401	198.0	149.0
40101	Side dish	Rice	Lunch	P040101002	4	401	218.0	164.0
40101	Side dish	Rice	Lunch	P040101003	4	401	230.0	173.0
40101	Side dish	Rice	Lunch	P040101004	4	401	248.0	186.0
40101	Side dish	Rice	Lunch	P040101005	4	401	268.0	201.0
40101	Side dish	Rice	Lunch	P040101006	4	401	298.0	224.0
40101	Side dish	Rice	Lunch	P040101007	4	401	338.0	254.0
40101	Side dish	Rice	Lunch	P040101008	4	401	420.0	315.0
40101	Side dish	Rice	Lunch	P040101009	4	401	498.0	374.0
40101	Side dish	Rice	Lunch	P040101010	4	401	580.0	435.0
40102	Side dish	Rice	Sushi	P040102001	4	401	268.0	201.0
40102	Side dish	Rice	Sushi	P040102002	4	401	268.0	201.0
40102	Side dish	Rice	Sushi	P040102003	4	401	278.0	209.0
40102	Side dish	Rice	Sushi	P040102004	4	401	318.0	239.0
40102	Side dish	Rice	Sushi	P040102005	4	401	318.0	239.0
40102	Side dish	Rice	Sushi	P040102006	4	401	318.0	239.0
40102	Side dish	Rice	Sushi	P040102007	4	401	338.0	254.0
40102	Side dish	Rice	Sushi	P040102008	4	401	358.0	269.0
40102	Side dish	Rice	Sushi	P040102009	4	401	358.0	269.0
40102	Side dish	Rice	Sushi	P040102010	4	401	358.0	269.0
40102	Side dish	Rice	Sushi	P040102011	4	401	358.0	269.0
40102	Side dish	Rice	Sushi	P040102012	4	401	358.0	269.0
40102	Side dish	Rice	Sushi	P040102013	4	401	398.0	299.0
40102	Side dish	Rice	Sushi	P040102014	4	401	398.0	299.0
40102	Side dish	Rice	Sushi	P040102015	4	401	398.0	299.0
40102	Side dish	Rice	Sushi	P040102016	4	401	398.0	299.0
40102	Side dish	Rice	Sushi	P040102017	4	401	438.0	329.0
40102	Side dish	Rice	Sushi	P040102018	4	401	498.0	374.0
40102	Side dish	Rice	Sushi	P040102019	4	401	598.0	449.0
40102	Side dish	Rice	Sushi	P040102020	4	401	980.0	735.0
40102	Side dish	Rice	Sushi	P040102021	4	401	1780.0	1335.0
40102	Side dish	Rice	Sushi	P040102022	4	401	3000.0	2250.0
40102	Side dish	Rice	Sushi	P040102023	4	401	5000.0	3750.0
40102	Side dish	Rice	Sushi	P040102024	4	401	5000.0	3750.0
40201	Side dish	Tsukudani	Seafood tsukudani	P040201001	4	402	148.0	111.0
40201	Side dish	Tsukudani	Seafood tsukudani	P040201002	4	402	178.0	134.0
40201	Side dish	Tsukudani	Seafood tsukudani	P040201003	4	402	198.0	149.0
40201	Side dish	Tsukudani	Seafood tsukudani	P040201004	4	402	248.0	186.0
