category_major_cd,category_major_name,category_medium_cd,category_medium_name,category_small_cd,category_small_name
4,Side dish,401,Rice,40101,Lunch
4,Side dish,401,Rice,40102,Sushi
4,Side dish,402,Tsukudani,40201,Seafood tsukudani
4,Side dish,402,Tsukudani,40202,Sea grass tsukudani
4,Side dish,402,Tsukudani,40203,Vegetable tsukudani
4,Side dish,402,Tsukudani,40204,Beans Kudani
4,Side dish,403,Salad,40301,Salad
4,Side dish,404,Japanese side dish,40401,Stir-fried and boiled foods
4,Side dish,404,Japanese side dish,40402,Masturbation
4,Side dish,404,Japanese side dish,40403,Vinegar
4,Side dish,404,Japanese side dish,40404,Other Japanese side dishes
4,Side dish,405,Fry,40501,Fry
4,Side dish,405,Fry,40502,Fried chicken
4,Side dish,405,Fry,40503,Tempura
4,Side dish,405,Fry,40504,Chicken roasted
4,Side dish,406,Western-style side dish,40601,Gratin pizza
4,Side dish,406,Western-style side dish,40602,Snacks
4,Side dish,406,Western-style side dish,40603,Other Western-style side dishes
4,Side dish,407,Chinese side dish,40701,Chinese side dish
4,Side dish,408,pottery,40801,Eel kabayaki
4,Side dish,408,pottery,40802,Other pottery
4,Side dish,413,others,41302,others
5,Japanese Japanese,501,Waterfish,50101,Tofu
5,Japanese Japanese,501,Waterfish,50102,Fried fried and cancer
5,Japanese Japanese,501,Waterfish,50103,Konjac
5,Japanese Japanese,501,Waterfish,50104,Other water
5,Japanese Japanese,502,Pickles,50201,Bran pickles
5,Japanese Japanese,502,Pickles,50202,Pickled in salted
5,Japanese Japanese,502,Pickles,50203,Pickled soy sauce
5,Japanese Japanese,502,Pickles,50204,Pickled in lees
5,Japanese Japanese,502,Pickles,50205,Pickling
5,Japanese Japanese,502,Pickles,50206,Pickled miso
5,Japanese Japanese,502,Pickles,50207,Other pickles
5,Japanese Japanese,503,Raw noodles,50301,Raw udon
5,Japanese Japanese,503,Raw noodles,50302,Raw soba
5,Japanese Japanese,503,Raw noodles,50303,Raw ramen
5,Japanese Japanese,503,Raw noodles,50304,Raw pasta
5,Japanese Japanese,503,Raw noodles,50305,others
5,Japanese Japanese,504,Trick,50401,Red plate
5,Japanese Japanese,504,Trick,50402,Bamboo burning
5,Japanese Japanese,504,Trick,50403,Bamboo ring
5,Japanese Japanese,504,Trick,50404,Fried food
5,Japanese Japanese,504,Trick,50405,Hanpen
5,Japanese Japanese,504,Trick,50406,Other Kamaboko
5,Japanese Japanese,504,Trick,50407,Cooking product
5,Japanese Japanese,505,frozen food,50501,Frozen vegetables
5,Japanese Japanese,505,frozen food,50502,Side food frozen food
5,Japanese Japanese,505,frozen food,50503,Snack frozen food
5,Japanese Japanese,505,frozen food,50504,Rice frozen food
5,Japanese Japanese,505,frozen food,50505,Noodles frozen foods
5,Japanese Japanese,505,frozen food,50506,Other frozen foods
5,Japanese Japanese,506,egg,50601,Ordinary eggs
5,Japanese Japanese,506,egg,50602,Special egg
5,Japanese Japanese,506,egg,50603,others
5,Japanese Japanese,507,Other Japanese Japanese,50701,Natto
5,Japanese Japanese,590,others,59001,others
6,Bread / dairy products,601,bread,60101,Plain bread
6,Bread / dairy products,601,bread,60102,Confectionery bread
6,Bread / dairy products,601,bread,60103,Cooking bread
6,Bread / dairy products,601,bread,60104,Other bread
6,Bread / dairy products,602,Raw confectionery,60201,Raw confectionery
6,Bread / dairy products,602,Raw confectionery,60202,Buns
6,Bread / dairy products,602,Raw confectionery,60203,Cakes
6,Bread / dairy products,602,Raw confectionery,60204,others
6,Bread / dairy products,603,milk,60303,Other milk
6,Bread / dairy products,604,Dairy products,60401,butter
6,Bread / dairy products,604,Dairy products,60402,margarine
6,Bread / dairy products,604,Dairy products,60403,cheese
6,Bread / dairy products,605,Chilled food,60501,Chilled semi-product
6,Bread / dairy products,605,Chilled food,60502,Chilled seasoning
