postal_cd,prefecture,city,town,full_address,longitude,latitude
689-3535,Tottori prefecture,Yonago City,Higashi-Hachiman,"Higashi-Hachiman, Yonago City, Tottori Prefecture",133.3903,35.40351
500-8463,Gifu Prefecture,Gifu City,Kano Shin-Honcho,"Kano Shin-Honmachi, Gifu City, Gifu Prefecture",136.75377,35.40611
100-6736,Tokyo,Chiyoda Ward,Marunouchi,"Marunouchi, Chiyoda-ku, Tokyo 36th floor",139.76344,35.68002
868-0022,Kumamoto Prefecture,Hitoyoshi City,Kita-Sanjinji Town,"Hitoyoshi City, Kumamoto Prefecture Kitanariji-cho",130.76523,32.21981
604-0972,Kyoto,"Nakagyo-ku, Kyoto",Large cooking town,"Daikomachi, Nakagyo-ku, Kyoto-shi, Kyoto",135.75653,35.01682
899-3516,Kagoshima prefecture,Minami Satsuma City,Kanamine-cho Uraname,"Uraname, Kinmine-cho, Minamisatsuma City, Kagoshima Prefecture",130.37338,31.44742
168-0065,Tokyo,Suginami,Mt. Hamada,"Hamadayama, Suginami-ku, Tokyo",139.63101,35.67802
488-0803,Aichi prefecture,Owari Asahi City,Inside Higashimachi Machiyama,"Inti-machiyama, Owari-shi, Aichi Prefecture",137.03586,35.21309
817-1701,Nagasaki Prefecture,Tsushima City,Kamita-cho Masaru Hita,"Masaru Hita, Kami-Tsushima-cho, Tsushima City, Nagasaki Prefecture",129.45622,34.65379
489-0052,Aichi prefecture,Seto City,Anto town,"Anto-cho, Seto City, Aichi Prefecture",137.09044,35.22741
529-1513,Shiga Prefecture,Higashiomi City,Town,"Tai-cho, Higashiomi City, Shiga Prefecture",136.18692,35.04691
079-1564,Hokkaido,Furano City,Yamabe Nakamachi,"Yamabe Nakamachi, Furano City, Hokkaido",142.38289,43.24294
604-8022,Kyoto,"Nakagyo-ku, Kyoto",Minami-Kayamachi,"Minami-kanayamachi, Nakagyo-ku, Kyoto-shi, Kyoto",135.77017,35.00661
882-0244,Miyazaki prefecture,Nobeoka City,Early in the northern town,"Wayaka, Kitakata-cho, Nobeoka City, Miyazaki Prefecture",131.46701,32.58064
770-0867,Tokushima,Tokushima City,Shin-Minami Fukushima,"Shin Minami Fukushima, Tokushima City, Tokushima Prefecture",134.56516,34.06704
946-0031,Niigata Prefecture,Uonuma city,Protozo,"Uonuma City, Niigata Prefecture",138.96555,37.20984
089-2147,Hokkaido,"Taiku-cho, Hiroo-gun",Kagami-cho,"Kagami-cho, Hiroo-gun, Hiroo-gun, Hokkaido",143.27611,42.48315
372-0827,Gunma Prefecture,Isesaki city,Happojima Town,"Hakutojima-cho, Isesaki City, Gunma Prefecture",139.19196,36.26817
098-1944,Hokkaido,"Kobe-cho, Monbetsu-gun",Richer,"Toyono, Kobe-cho, Monbetsu-gun, Hokkaido",143.13524,44.40545
012-1111,Akita,"Hagorocho, Ogachi-gun",Shimada Nitta,"Shimada Nitta, Hagoto-cho, Ogachi-gun, Akita Prefecture",140.41072,39.24047
105-6924,Tokyo,Minato-ku,Toranomon Kamiya Town Trust Tower,"Toranomon Kamiya-cho, Minato-ku, Tokyo Trust Tower 24th floor",139.74619,35.66849
891-0705,Kagoshima prefecture,Minami Kyushu City,"Kamibepu, Ei-cho","Kamibeppu, Ei-cho, Minami-Kyushu City, Kagoshima Prefecture",130.46501,31.30756
669-1536,Hyogo prefecture,Mita City,,"Mita City, Hyogo Prefecture",135.22607,34.89
443-0054,Aichi prefecture,Gamagori City,Prefectural town,"Gamagori City, Aichi Prefecture",137.23563,34.8233
781-2121,Kochi Prefecture,"Ino town, Agawa-gun",Inside the pond,"In the town pond, Agawa-gun, Kochi Prefecture",133.45316,33.53727
068-0131,Hokkaido,Iwamizawa City,Kurizawa-cho Konishi,"Konishi, Kurizawa-cho, Iwamizawa-shi, Hokkaido",141.73007,43.10184
501-6041,Gifu Prefecture,"Kasamatsu-cho, Hashima-gun",Nara town,"Nara-cho, Kasamatsu-cho, Hashima-gun, Gifu Prefecture",136.76352,35.37268
940-2511,Niigata Prefecture,Nagaoka City,Teradomari Enjoji Temple,"Teradomari Enjoji, Nagaoka City, Niigata Prefecture",138.78674,37.64633
959-1372,Niigata Prefecture,Kamo City,Honmachi,"Honmachi, Kamo City, Niigata Prefecture",139.05444,37.65899
100-6741,Tokyo,Chiyoda Ward,Marunouchi,"Marunouchi, Chiyoda-ku, Tokyo, Grant Wukyono Stower 41st floor",139.76344,35.68002
671-2500,Hyogo prefecture,Shiso city,,"Shiso City, Hyogo Prefecture",134.54971,35.00431
859-2316,Nagasaki Prefecture,Minamishimabara City,Minami Jimmachi self,"Minamishimabara City, Nagasaki Prefecture Minami Arima-cho Kogoen Rogawa",130.18227,32.65939
914-0044,Fukui prefecture,Tsuruga City,Okayama town,"Okayama-cho, Tsuruga City, Fukui Prefecture",136.07085,35.63099
438-0011,Shizuoka Prefecture,Iwata city,Plum,"Kasamai, Iwata City, Shizuoka Prefecture",137.87109,34.77313
502-0913,Gifu Prefecture,Gifu City,Eastern island,"Higashijima, Gifu City, Gifu Prefecture",136.74103,35.42324
639-2333,Nara Prefecture,Imperial Palace,Forest,"Hayashi, Gosho City, Nara Prefecture",135.71577,34.41977
952-0207,Niigata Prefecture,Sado City,Terada,"Terada, Sado City, Niigata Prefecture",138.39275,37.99442
176-0002,Tokyo,Nerima Ward,Cherry blossom stand,"Sakuradai, Nerima-ku, Tokyo",139.66452,35.74001
854-0081,Nagasaki Prefecture,Isahaya City,Sakae Town,"Eida-cho, Isahaya City, Nagasaki Prefecture",130.03659,32.86145
520-2573,Shiga Prefecture,"Ryuo-cho, Gamo-gun",mirror,"Ryuo-cho, Gamo-gun, Shiga Prefecture",136.08376,35.08364
231-0005,Kanagawa Prefecture,"Naka-ku, Yokohama-shi",Honmachi,"Honmachi, Naka-ku, Yokohama-shi, Kanagawa",139.63646,35.45002
321-0535,Tochigi Prefecture,Nasu Karasuyama City,Kirai,"Koshirai, Nasukarasuyama City, Tochigi Prefecture",140.05035,36.68948
615-0052,Kyoto,"Ukyo-ku, Kyoto",Saiin Shimizu Town,"Saiin Shimizu-cho, Ukyo-ku, Kyoto-shi, Kyoto",135.72375,34.99795
877-0055,Oita Prefecture,Hita City,Omiya Town,"Omiya Town, Hita City, Oita Prefecture",130.96452,33.22472
861-4736,Kumamoto Prefecture,"Misato-cho, Shimashiki-gun",Naikoshiya,"Naoshiya, Misato-cho, Shimashiki-gun, Kumamoto Prefecture",130.84969,32.63309
614-8026,Kyoto,Hachiman City,Hachiman Forest,"Yawata Mori, Yawata City, Kyoto Prefecture",135.709,34.88112
029-5502,Iwate Prefecture,"Waga-cho, Waga-gun",Lower front,"13 basis in front of Nishiwaga-cho, Waga-gun, Iwate Prefecture",140.72528,39.38063
448-0039,Aichi prefecture,Kariya city,Harazaki town,"Harazaki-cho, Kariya-shi, Aichi",137.00346,35.00011
989-6133,Miyagi Prefecture,Osaki city,Furukawa Nishi-Arai,"Furukawa Nishi-Arai, Osaki City, Miyagi Prefecture",140.94299,38.55419
969-3101,Fukushima Prefecture,"Inawashiro-cho, Yama-gun",Whole village,"Naka, Inawashiro-cho, Yama-gun, Fukushima",140.12276,37.57747
056-0026,Hokkaido,"Hidaka-cho, Hidaka-gun",Shizunai Suehiro Town,"Shinhidaka-cho, Hidaka-gun, Hokkaido Shizunai Suehiro Town",142.35777,42.34321
509-5115,Gifu Prefecture,Toki city,"Hida, Hida-cho","Hida, Toki City, Gifu Prefecture",137.21854,35.34593
036-0241,Aomori Prefecture,Hirakawa City,Yawatazaki Honbayashi,"Hachimanzaki Motobayashi, Hirakawa City, Aomori Prefecture",140.54288,40.61745
361-0036,Saitama,Gyoda City,Gutter,"Higami, Gyoda City, Saitama Prefecture",139.4706,36.11715
800-0055,Fukuoka Prefecture,"Moji Ward, Kitakyushu City",East Shinmachi,"Higashishinmachi, Moji-ku, Kitakyushu City, Fukuoka Prefecture",130.92419,33.89351
376-0022,Gunma Prefecture,Kiryu city,Inari-cho,"Inari-cho, Kiryu City, Gunma Prefecture",139.33218,36.40745
070-0030,Hokkaido,Asahikawa City,Miyashita-dori,"13 chome Miyashita-dori, Asahikawa City, Hokkaido",142.36678,43.76178
367-0012,Saitama,Honjo City,Miyado,"Miyado, Honjo City, Saitama Prefecture",139.23946,36.24036
090-0815,Hokkaido,Kitami City,New town,"Shinseicho, Kitami City, Hokkaido",143.89018,43.78265
911-0848,Fukui prefecture,Katsuyama City,Kagaya Town Hoda,"Yasuda, Kagaya-cho, Katsuyama City, Fukui Prefecture",136.44922,36.06371
444-0076,Aichi prefecture,Okazaki city,Ida-cho,"Idamachi, Okazaki City, Aichi Prefecture",137.17644,34.97748
